Entity,Code,Year,colonizer_grouped
Afghanistan,AFG,1497,zzz. Not colonized
Algeria,DZA,1497,zzz. Not colonized
Angola,AGO,1497,zzz. Not colonized
Antigua and Barbuda,ATG,1497,zzz. Not colonized
Argentina,ARG,1497,zzz. Not colonized
Armenia,ARM,1497,zzz. Not colonized
Australia,AUS,1497,zzz. Not colonized
Azerbaijan,AZE,1497,zzz. Not colonized
Bahamas,BHS,1497,zzz. Not colonized
Bahrain,BHR,1497,zzz. Not colonized
Bangladesh,BGD,1497,zzz. Not colonized
Barbados,BRB,1497,zzz. Not colonized
Belgium,BEL,1497,zz. Colonizer
Belize,BLZ,1497,zzz. Not colonized
Benin,BEN,1497,zzz. Not colonized
Bhutan,BTN,1497,zzz. Not colonized
Bolivia,BOL,1497,zzz. Not colonized
Botswana,BWA,1497,zzz. Not colonized
Brazil,BRA,1497,zzz. Not colonized
Brunei,BRN,1497,zzz. Not colonized
Burkina Faso,BFA,1497,zzz. Not colonized
Burundi,BDI,1497,zzz. Not colonized
Cambodia,KHM,1497,zzz. Not colonized
Cameroon,CMR,1497,zzz. Not colonized
Canada,CAN,1497,zzz. Not colonized
Cape Verde,CPV,1497,Portugal
Central African Republic,CAF,1497,zzz. Not colonized
Chad,TCD,1497,zzz. Not colonized
Chile,CHL,1497,zzz. Not colonized
China,CHN,1497,zzz. Not colonized
Colombia,COL,1497,zzz. Not colonized
Comoros,COM,1497,zzz. Not colonized
Congo,COG,1497,zzz. Not colonized
Costa Rica,CRI,1497,zzz. Not colonized
Cote d'Ivoire,CIV,1497,zzz. Not colonized
Cuba,CUB,1497,zzz. Not colonized
Democratic Republic of Congo,COD,1497,zzz. Not colonized
Djibouti,DJI,1497,zzz. Not colonized
Dominica,DMA,1497,zzz. Not colonized
Dominican Republic,DOM,1497,Spain
East Timor,TLS,1497,zzz. Not colonized
Ecuador,ECU,1497,zzz. Not colonized
Egypt,EGY,1497,zzz. Not colonized
El Salvador,SLV,1497,zzz. Not colonized
Equatorial Guinea,GNQ,1497,zzz. Not colonized
Eritrea,ERI,1497,zzz. Not colonized
Eswatini,SWZ,1497,zzz. Not colonized
Ethiopia,ETH,1497,zzz. Not colonized
Fiji,FJI,1497,zzz. Not colonized
France,FRA,1497,zz. Colonizer
Gabon,GAB,1497,zzz. Not colonized
Gambia,GMB,1497,zzz. Not colonized
Georgia,GEO,1497,zzz. Not colonized
Germany,DEU,1497,zz. Colonizer
Ghana,GHA,1497,Portugal
Grenada,GRD,1497,zzz. Not colonized
Guatemala,GTM,1497,zzz. Not colonized
Guinea,GIN,1497,zzz. Not colonized
